"ticker","sector","cumulative_return_1y","return_6m","return_3m","daily_volatility","sharpe_ratio","avg_volume","bb_position","current_price","latest_date","sector_rank","sector_size"
"GH","Health Care",1.99359322291417,1.41368922943278,0.662071992896872,0.0423973325961171,0.223461477238064,1711376.1752988,0.8823345936792,112.139999389648,2026-01-16,5,180
"ADPT","Health Care",1.88632618818665,0.686236754460078,0.0144759695062784,0.0493668148545222,0.0406265028457606,1365392.43027888,0.72945106247891,17.5200004577637,2026-01-16,6,180
"HLF","Health Care",1.74595465772312,0.830636297233622,0.970963994196432,0.0374455350962937,-0.0762960675335375,1647611.71314741,1.03753359672985,16.9699993133545,2026-01-16,7,180
"RNA","Health Care",1.68059165180627,1.14780822693292,0.48646994569022,0.0497640717826967,0.627963164469392,1248308.12749004,0.873918056422165,72.5100021362305,2026-01-16,8,180
"EYE","Health Care",1.64245275668548,0.116381030631152,0.0354898713086103,0.0318535352912799,0.0502971619735547,1303229.561753,0.623800770778955,28.0100002288818,2026-01-16,9,180
"BKD","Health Care",1.484725089288,0.582360538119698,0.408775984321859,0.0344229883346798,0.630478561648902,2282494.82071713,1.38766296753585,12.1999998092651,2026-01-16,10,180
"HL","Industrials",3.93553525124149,3.56387520275014,0.741990745841137,0.0384530069488877,0.822573008239242,11076866.2151395,1.06736406876234,26.5400009155273,2026-01-16,1,236
"ATRO","Industrials",3.64903550113539,1.1617475727941,0.5597076556273,0.0347176989388352,0.865338172283223,264594.980079682,1.00078387575293,74.7099990844727,2026-01-16,2,236
"UUUU","Industrials",3.26019419956774,1.34401723705257,0.0115260485866486,0.0463957088397153,0.832218943980063,5342060.79681273,0.974673889361707,21.9400005340576,2026-01-16,3,236
"KTOS","Industrials",2.99023223193454,1.21109613637363,0.475062030798062,0.0307349177495842,0.855918983355786,1530114.10358565,0.971319860602428,130.720001220703,2026-01-16,4,236
"RKLB","Industrials",2.98592730380638,0.873905510712181,0.437313478384445,0.0485265125489246,0.952473418088561,9101172.90836646,0.968014436350401,96.3000030517578,2026-01-16,5,236
"TSAT","Industrials",1.41740321421308,0.318013416479973,0.0958397700225451,0.045912401359733,0.425011479905586,109960.717131474,1.03035823119271,35.560001373291,2026-01-16,6,236
"FIX","Industrials",1.40967845000034,1.02365580843937,0.336072501006437,0.0271535166970398,1.61152526446819,302712.749003983,1.03505671164858,1119.97998046875,2026-01-16,7,236
"AVAV","Industrials",1.38588592623702,0.433638605632993,0.0501469632236682,0.0331947167014465,0.678903974630751,414970.517928291,0.905688734565088,392.859985351562,2026-01-16,8,236
"CENX","Industrials",1.38565689171244,1.34104332722707,0.464142728141253,0.0466084142066749,0.737982499389085,1655625.41832669,0.839651248329411,47.5699996948242,2026-01-16,9,236
"TFPM","Industrials",1.38511835003955,0.598530797499247,0.112146829379686,0.0215294736768579,1.22943646019571,278751.354534748,0.930964244284167,36.9900016784668,2026-01-16,10,236
"NVRI","Miscellaneous",1.14418601350181,1.05574135842981,0.485898530281044,0.0360911387279687,0.293114144842933,632477.928286854,0.751132698197654,18.4400005340576,2026-01-16,1,10
"DBD","Miscellaneous",0.670889182771315,0.184915316306939,0.230809940160967,0.0256032201008239,1.44982441975438,176709.180327869,0.784212390198768,69.9100036621094,2026-01-16,2,10
"CAE","Miscellaneous",0.444632994396587,0.170103051226862,0.238181790438566,0.0228611206251835,0.35060541536461,407169.561752987,0.984649402201678,34.0499992370605,2026-01-16,3,10
"FERG","Miscellaneous",0.437305137422651,0.126278233887477,0.0611180229718558,0.0186796293962337,0.702396689272123,1072654.98007968,0.980466989817037,249,2026-01-16,4,10
"CTLP","Miscellaneous",0.344059376141193,-0.0225022509203905,0.0254957035126557,0.0294788460424628,0.238282431955757,493624.382470118,0.896586856081643,10.8599996566772,2026-01-16,5,10
"NATL","Miscellaneous",0.278169033217845,0.452000011097301,0.0838762252928709,0.0264922401626676,0.790480217197947,597343.23374341,0.727558025066563,39.9300003051758,2026-01-16,6,10
"NOVT","Miscellaneous",-0.0920927930378239,0.0944210176170404,0.262264389398684,0.0243210514415225,0.205896754182009,196929.322709163,0.912131496371814,134.570007324219,2026-01-16,7,10
"ATKR","Miscellaneous",-0.113055860360704,-0.0200092241803932,0.090051200154109,0.0301037695489822,0.410308614363785,513698.486055777,1.04422132191033,72.0100021362305,2026-01-16,8,10
"SPB","Miscellaneous",-0.241132163950003,0.122894621606494,0.192769052822712,0.022797884074458,0.0962754890273532,475139.601593626,0.561999223830444,61.9300003051758,2026-01-16,9,10
"PAR","Miscellaneous",-0.48446861889469,-0.466945151103878,0.067185640018858,0.0339346880737518,0.0102366166495844,366872.031872509,0.477447749021591,37.0099983215332,2026-01-16,10,10
"DHC","Real Estate",1.94377535465394,0.714971024016092,0.447268214419898,0.0434804067750451,0.433093794624477,1713897.92828685,1.13593477325448,5.92000007629395,2026-01-16,1,119
"BABA","Real Estate",1.05920126656319,0.375696492375968,0.0018777488973909,0.0321622693940035,0.0823260503913836,20651485.6573705,0.827101385052898,165.399993896484,2026-01-16,2,119
"APEI","Real Estate",0.968168387686076,0.324653870289481,0.0862161791002423,0.0405556324733741,0.432584115625492,167252.509960159,0.803225681046962,40.189998626709,2026-01-16,3,119
"LAUR","Real Estate",0.882961272310501,0.427569162446439,0.178534913220188,0.0209203917390545,1.13695025699851,970363.505976095,0.558878661266339,34.5900001525879,2026-01-16,4,119
"AHR","Real Estate",0.801134802826308,0.283457378629183,0.136395858944799,0.0165264531213405,2.83467039262192,1661260.04098361,0.750379333145563,48.0099983215332,2026-01-16,5,119
"LINC","Real Estate",0.726009299555544,0.136878784505112,0.211895881456512,0.0269910339630337,0.889762750980443,143822.071713148,0.960766894964809,26.0799999237061,2026-01-16,6,119
"WELL","Real Estate",0.534936401669028,0.213311261660761,0.116499919437898,0.015003052584471,1.18134529787829,2582063.26693227,1.17965035459357,191.380004882812,2026-01-16,7,119
"OUT","Real Estate",0.52560480634996,0.450349088886843,0.462124803733957,0.0252286913117112,0.499156112620741,1781326.65099602,1.32681065078357,25.2000007629395,2026-01-16,8,119
"NLY","Real Estate",0.52025143764387,0.31032097603066,0.226957148665256,0.0160114733389842,0.406698574702853,5854918.04780876,1.1306994492259,24.3999996185303,2026-01-16,9,119
"AGNC","Real Estate",0.496589413639475,0.38578764496087,0.245026988082605,0.015990205115973,0.424629459630844,13910303.0278885,1.05534646908458,11.9300003051758,2026-01-16,10,119
"PL","Technology",6.71581783900213,3.23858628105077,1.17535915967089,0.0484999093191632,0.665021230920982,3559814.80235495,1.03694719885567,28.7800006866455,2026-01-16,1,147
"VSAT","Technology",5.11717672790923,1.92239172050548,0.270464569152834,0.0461840381916591,0.40632748909159,1458088.20717131,1.00958719217935,45.939998626709,2026-01-16,2,147
"WDC","Technology",3.68890531865893,2.26391430158127,0.760547211303686,0.0289805021489538,0.987724143515767,6643689.4135458,0.90637168076032,221.509994506836,2026-01-16,3,147
"LPTH","Technology",3.23232308880016,2.65406961794671,0.624031016348247,0.0496162188690442,0.661790925347838,413708.92430279,0.740529090928509,12.5699996948242,2026-01-16,4,147
"TTMI","Technology",3.00674358605767,1.24317132743675,0.728143726565636,0.0277065884854242,1.11465833775854,963969.163346611,1.05409190805692,101.01000213623,2026-01-16,5,147
"LASR","Technology",2.96212786493564,1.20140283778324,0.386119797135128,0.0392621037390965,0.373019525176994,342912.430278885,0.985911856487133,43.939998626709,2026-01-16,6,147
"MU","Technology",2.73807365141542,2.17443677484367,0.791816272457076,0.0308720841440396,0.857154673321733,20080317.2111554,0.913025582423907,362.75,2026-01-16,7,147
"STX","Technology",2.64529809059192,1.20109271119894,0.44709060119839,0.0263847766783056,1.08807460256605,2814854.18326693,0.90598750512162,326.230010986328,2026-01-16,8,147
"VICR","Technology",2.13228860318298,2.15470448701072,1.47858445274015,0.0427639143768274,0.453090818608667,291752.430278884,0.876270729318596,149.880004882812,2026-01-16,9,147
"CLS","Technology",2.04141212537276,0.958531199516964,0.120560360601636,0.0340641680937018,1.60174698986962,1638083.90438247,0.72889302030042,313.600006103516,2026-01-16,10,147
"LITE","Telecommunications",2.81111886485229,2.17207978994162,0.986460874147378,0.0343291157437446,0.724099709827367,1630413.94422311,0.0419563668294689,324.25,2026-01-16,1,23
"TIGO","Telecommunications",1.64648487474723,0.555498979405788,0.282740890319779,0.0245889263380291,0.482135120941302,279523.824701198,1.09570451040854,58.7099990844727,2026-01-16,2,23
"IHS","Telecommunications",1.46905540343104,0.286927011125525,0.11634756499136,0.0353481348910604,-0.0614991058394199,435099.345182411,0.657338312071341,7.57999992370605,2026-01-16,3,23
"VOD","Telecommunications",0.71051433922158,0.254517725036248,0.19878574336108,0.0168487000239203,0.209563857552666,6543753.22709162,0.634995450263119,13.4700002670288,2026-01-16,4,23
"ESE","Telecommunications",0.651235464806321,0.114714816180357,0.0162640022338878,0.018498715483806,0.644204934792081,122075.139442231,0.95705905880718,218.580001831055,2026-01-16,5,23
"VIV","Telecommunications",0.633945573854035,0.0950694529115432,0.0100503218970416,0.0177666141678726,0.614917123634625,1273885.33864542,0.527448094845436,12.0600004196167,2026-01-16,6,23
"DGII","Telecommunications",0.493220313120696,0.331217861406252,0.153141318253496,0.0267431001826265,0.591611264597147,225151.314741036,0.656988432339642,44.0499992370605,2026-01-16,7,23
"TLK","Telecommunications",0.43048978308629,0.283352956654883,0.204432171192631,0.0160858332768593,0.230230886932104,349713.067729083,0.849192067172363,21.7399997711182,2026-01-16,8,23
"ROKU","Telecommunications",0.385828869423732,0.111158780628289,0.0873806951752425,0.0425370110305321,-0.0859286502967198,5691979.28286854,-0.133011672089246,103.660003662109,2026-01-16,9,23
